Pitch (deg),Roll (deg),Yaw (deg)
-0.42,-3.50,0.00
-0.59,-5.20,0.00
-0.78,-6.87,0.00
-0.99,-8.50,0.00
-1.18,-10.11,0.00
-1.38,-11.70,0.00
-1.57,-13.28,0.00
-1.77,-14.83,0.00
-1.96,-16.37,0.00
-2.14,-17.88,0.00
-2.32,-19.38,0.00
-2.49,-20.86,0.00
-2.66,-22.32,0.00
-2.84,-23.75,0.00
-3.01,-25.17,0.00
-3.18,-26.58,0.00
-3.34,-27.96,0.00
-3.51,-29.32,0.00
-3.67,-30.67,0.00
-3.83,-32.00,0.00
-3.99,-33.31,0.00
-4.14,-34.60,0.00
-4.30,-35.87,0.00
-4.45,-37.13,0.00
-4.60,-38.37,0.00
-4.75,-39.60,0.00
-4.90,-40.81,0.00
-5.04,-42.01,0.00
-5.19,-43.19,0.00
-5.33,-44.36,0.00
-5.47,-45.51,0.00
-5.60,-46.65,0.00
-5.74,-47.77,0.00
-5.87,-48.88,0.00
-6.00,-49.98,0.00
-6.12,-51.06,0.00
-6.25,-52.13,0.00
-6.37,-53.18,0.00
-6.50,-54.22,0.00
-6.62,-55.25,0.00
-6.73,-56.27,0.00
-6.85,-57.27,0.00
-6.97,-58.26,0.00
-7.08,-59.24,0.00
-7.19,-60.20,0.00
-7.30,-61.16,0.00
-7.41,-62.10,0.00
-7.52,-63.03,0.00
-7.62,-63.95,0.00
-7.73,-64.86,0.00
-7.98,-67.00,0.00
-8.22,-69.10,0.00
-8.46,-71.15,0.00
-8.69,-73.17,0.00
-8.92,-75.14,0.00
-9.15,-77.08,0.00
-9.37,-78.97,0.00
-9.57,-80.89,0.00
-9.86,-82.84,0.00
-10.62,-84.99,0.00
-11.39,-87.06,0.00
-12.66,-88.61,0.00
-14.17,-90.39,0.00
-16.76,-91.54,0.00
-19.40,-92.59,0.00
-22.10,-93.91,0.00
-25.07,-95.22,0.00
-26.83,-95.88,0.00
-28.58,-97.43,0.00
-30.65,-97.32,0.00
-32.56,-96.87,0.00
-36.21,-95.61,0.00
-39.39,-94.82,0.00
-42.81,-94.24,0.00
-45.56,-94.91,0.00
-47.23,-97.52,0.00
-49.11,-99.64,0.00
-51.14,-101.78,0.00
-53.08,-103.85,0.00
-55.41,-105.77,0.00
-57.57,-107.57,0.00
-59.56,-110.54,0.00
-61.47,-113.47,0.00
-63.40,-116.43,0.00
-65.56,-119.72,0.00
-67.69,-122.87,0.00
-69.85,-125.86,0.00
-71.97,-128.79,0.00
-74.04,-131.66,0.00
-76.08,-134.47,0.00
-78.08,-137.23,0.00
